Table 1 30-Day Readmission for Mental Health and Substance Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,Reporting level,Place or organization,Hospital Peer Group,Corporation,Region,Province/Territory,Urban or rural/remote,Trend note,Time Scale,Time frame,Level 1 breakdown,Level 1 breakdown value,Risk-adjusted rate,Risk-adjusted rate: Confidence interval lower limit,Risk-adjusted rate: Confidence interval upper limit,Risk-adjusted rate: Statistically different,Risk-adjusted rate: Performance comparison,Risk-adjusted rate: Performance trend,Risk-adjusted rate: Top results,Risk-adjusted rate: Relative standing scatter plot confidence intervals,Numerator,Denominator,Crude rate,Disparity rate ratio,Disparity rate ratio: Confidence interval lower limit,Disparity rate ratio: Confidence interval upper limit,Disparity rate ratio: Statistically different,Potential rate reduction,Potential rate reduction: Confidence interval lower limit,Potential rate reduction: Confidence interval upper limit,Potential rate reduction: Statistically different,Expected
30-Day Readmission for Mental Health and Substance Use,Health region,Fraser South HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2022–2023,Not applicable,Not applicable,14.3,13.29,15.48,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Fraser South HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2023–2024,Not applicable,Not applicable,12.8,11.78,13.95,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Fraser South HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2024–2025,Not applicable,Not applicable,12.5,11.40,13.59,No,Same as average performance,Improving,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Richmond HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2015–2016,Not applicable,Not applicable,13.7,11.65,16.07,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Richmond HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2016–2017,Not applicable,Not applicable,13.7,11.49,16.28,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Richmond HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2017–2018,Not applicable,Not applicable,14.2,11.95,16.89,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Richmond HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2018–2019,Not applicable,Not applicable,12.3,10.18,14.84,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Richmond HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2019–2020,Not applicable,Not applicable,12.9,10.74,15.43,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Richmond HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2020–2021,Not applicable,Not applicable,13.8,11.58,16.41,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Richmond HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2021–2022,Not applicable,Not applicable,16.3,13.94,18.96,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Richmond HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2022–2023,Not applicable,Not applicable,12.6,10.20,15.44,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Richmond HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2023–2024,Not applicable,Not applicable,15.0,12.50,17.96,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Richmond HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2024–2025,Not applicable,Not applicable,13.7,11.24,16.54,No,Same as average performance,No change,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Vancouver HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2015–2016,Not applicable,Not applicable,14.8,13.79,15.84,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Vancouver HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2016–2017,Not applicable,Not applicable,14.5,13.40,15.59,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Vancouver HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2017–2018,Not applicable,Not applicable,15.3,14.28,16.45,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Vancouver HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2018–2019,Not applicable,Not applicable,14.0,12.95,15.13,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Vancouver HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2019–2020,Not applicable,Not applicable,13.7,12.59,14.83,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Vancouver HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2020–2021,Not applicable,Not applicable,15.3,14.20,16.54,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Vancouver HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2021–2022,Not applicable,Not applicable,13.6,12.57,14.79,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Vancouver HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2022–2023,Not applicable,Not applicable,13.9,12.81,15.04,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Vancouver HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2023–2024,Not applicable,Not applicable,12.6,11.53,13.69,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Vancouver HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2024–2025,Not applicable,Not applicable,12.4,11.40,13.55,No,Same as average performance,No change,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,North Shore/Coast Garibaldi HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2015–2016,Not applicable,Not applicable,14.0,12.24,15.99,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,North Shore/Coast Garibaldi HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2016–2017,Not applicable,Not applicable,14.2,12.33,16.20,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,North Shore/Coast Garibaldi HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2017–2018,Not applicable,Not applicable,13.1,11.41,15.07,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,North Shore/Coast Garibaldi HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2018–2019,Not applicable,Not applicable,13.5,11.71,15.41,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,North Shore/Coast Garibaldi HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2019–2020,Not applicable,Not applicable,13.5,11.89,15.39,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,North Shore/Coast Garibaldi HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2020–2021,Not applicable,Not applicable,14.0,12.31,15.89,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,North Shore/Coast Garibaldi HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2021–2022,Not applicable,Not applicable,16.3,14.67,18.14,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,North Shore/Coast Garibaldi HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2022–2023,Not applicable,Not applicable,13.0,11.31,14.80,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,North Shore/Coast Garibaldi HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2023–2024,Not applicable,Not applicable,13.5,11.92,15.35,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,North Shore/Coast Garibaldi HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2024–2025,Not applicable,Not applicable,14.4,12.74,16.29,No,Same as average performance,No change,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,South Vancouver Island HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2015–2016,Not applicable,Not applicable,11.3,10.01,12.74,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,South Vancouver Island HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2016–2017,Not applicable,Not applicable,11.2,9.87,12.70,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,South Vancouver Island HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2017–2018,Not applicable,Not applicable,11.1,9.74,12.53,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,South Vancouver Island HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2018–2019,Not applicable,Not applicable,12.3,10.94,13.73,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,South Vancouver Island HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2019–2020,Not applicable,Not applicable,12.1,10.88,13.54,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,South Vancouver Island HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2020–2021,Not applicable,Not applicable,14.9,13.47,16.46,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,South Vancouver Island HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2021–2022,Not applicable,Not applicable,12.1,10.84,13.52,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,South Vancouver Island HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2022–2023,Not applicable,Not applicable,14.2,12.83,15.65,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,South Vancouver Island HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2023–2024,Not applicable,Not applicable,14.4,13.06,15.83,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,South Vancouver Island HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2024–2025,Not applicable,Not applicable,13.8,12.43,15.30,No,Same as average performance,No change,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Central Vancouver Island HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2015–2016,Not applicable,Not applicable,13.2,11.75,14.82,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Central Vancouver Island HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2016–2017,Not applicable,Not applicable,14.7,13.21,16.43,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Central Vancouver Island HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2017–2018,Not applicable,Not applicable,14.2,12.75,15.75,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Central Vancouver Island HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2018–2019,Not applicable,Not applicable,15.3,13.88,16.88,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Central Vancouver Island HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2019–2020,Not applicable,Not applicable,16.3,14.88,17.78,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Central Vancouver Island HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2020–2021,Not applicable,Not applicable,14.4,13.03,15.84,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Central Vancouver Island HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2021–2022,Not applicable,Not applicable,15.7,14.41,17.19,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Central Vancouver Island HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2022–2023,Not applicable,Not applicable,14.6,13.27,16.12,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Central Vancouver Island HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2023–2024,Not applicable,Not applicable,15.3,13.94,16.82,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Central Vancouver Island HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2024–2025,Not applicable,Not applicable,14.8,13.34,16.32,Yes,Below average performance,No change,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,North Vancouver Island HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2015–2016,Not applicable,Not applicable,10.5,7.82,13.95,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,North Vancouver Island HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2016–2017,Not applicable,Not applicable,9.1,6.97,11.93,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,North Vancouver Island HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2017–2018,Not applicable,Not applicable,13.5,10.87,16.60,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,North Vancouver Island HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2018–2019,Not applicable,Not applicable,14.3,11.67,17.48,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,North Vancouver Island HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2019–2020,Not applicable,Not applicable,12.6,10.31,15.26,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,North Vancouver Island HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2020–2021,Not applicable,Not applicable,13.7,11.18,16.58,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,North Vancouver Island HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2021–2022,Not applicable,Not applicable,11.8,9.79,14.07,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,North Vancouver Island HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2022–2023,Not applicable,Not applicable,13.3,11.27,15.60,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
