Place or organization,Province/territory,Region,Reporting level,Indicator,Time scale,Time frame,Age-standardized rate,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Numerator,Denominator,Crude rate,Rate ratio (income),Potential rate reduction (income),Percent,Refresh date
North East Region (Ont.),Ontario,North East Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,590,"Per 100,000",572,608,-,-,-,-,-,-,"October 15, 2025"
North Bay Parry Sound District Health Unit (Ont.),Ontario,North Bay Parry Sound District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,574,"Per 100,000",538,614,-,-,-,-,-,-,"October 15, 2025"
North Bay Parry Sound District Health Unit (Ont.),Ontario,North Bay Parry Sound District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,574,"Per 100,000",539,612,-,-,-,-,-,-,"October 15, 2025"
North East Region (Ont.),Ontario,North East Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,574,"Per 100,000",556,592,-,-,-,-,-,-,"October 15, 2025"
Hastings Prince Edward Public Health (Ont.),Ontario,Hastings Prince Edward Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,485,"Per 100,000",456,518,-,-,-,-,-,-,"October 15, 2025"
North East Region (Ont.),Ontario,North East Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,485,"Per 100,000",468,502,-,-,-,-,-,-,"October 15, 2025"
Northeast HSDA (B.C.),British Columbia,Northeast HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,485,"Per 100,000",439,536,-,-,-,-,-,-,"October 15, 2025"
Eastern Ontario Health Unit (Ont.),Ontario,Eastern Ontario Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,489,"Per 100,000",464,515,-,-,-,-,-,-,"October 15, 2025"
North East Region (Ont.),Ontario,North East Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,489,"Per 100,000",473,507,-,-,-,-,-,-,"October 15, 2025"
Northwestern Health Unit (Ont.),Ontario,Northwestern Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,660,"Per 100,000",610,715,-,-,-,-,-,-,"October 15, 2025"
Northwestern Health Unit (Ont.),Ontario,Northwestern Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,602,"Per 100,000",554,655,-,-,-,-,-,-,"October 15, 2025"
South West Zone (Sask.),Saskatchewan,South West Zone (Sask.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,602,"Per 100,000",564,642,-,-,-,-,-,-,"October 15, 2025"
Yukon,Yukon,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,630,"Per 100,000",569,699,-,-,-,-,-,-,"October 15, 2025"
Northwest HSDA (B.C.),British Columbia,Northwest HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,630,"Per 100,000",582,683,-,-,-,-,-,-,"October 15, 2025"
Northwestern Health Unit (Ont.),Ontario,Northwestern Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,630,"Per 100,000",581,684,-,-,-,-,-,-,"October 15, 2025"
Northwestern Health Unit (Ont.),Ontario,Northwestern Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,559,"Per 100,000",513,610,-,-,-,-,-,-,"October 15, 2025"
Northwestern Health Unit (Ont.),Ontario,Northwestern Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,567,"Per 100,000",520,619,-,-,-,-,-,-,"October 15, 2025"
North Central East Zone (Sask.),Saskatchewan,North Central East Zone (Sask.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,478,"Per 100,000",442,517,-,-,-,-,-,-,"October 15, 2025"
Northwestern Health Unit (Ont.),Ontario,Northwestern Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,478,"Per 100,000",434,527,-,-,-,-,-,-,"October 15, 2025"
Northwestern Health Unit (Ont.),Ontario,Northwestern Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,532,"Per 100,000",485,583,-,-,-,-,-,-,"October 15, 2025"
Timiskaming Health Unit (Ont.),Ontario,Timiskaming Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,532,"Per 100,000",465,612,-,-,-,-,-,-,"October 15, 2025"
Northern Interior HSDA (B.C.),British Columbia,Northern Interior HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,524,"Per 100,000",492,560,-,-,-,-,-,-,"October 15, 2025"
Northwestern Health Unit (Ont.),Ontario,Northwestern Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,524,"Per 100,000",478,576,-,-,-,-,-,-,"October 15, 2025"
British Columbia,British Columbia,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,249,"Per 100,000",245,253,-,-,-,2.4,34.9,-,"October 15, 2025"
Ottawa Public Health (Ont.),Ontario,Ottawa Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,249,"Per 100,000",240,258,-,-,-,-,-,-,"October 15, 2025"
Southern Health Region (Man.),Manitoba,Southern Health Region (Man.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,249,"Per 100,000",231,269,-,-,-,-,-,-,"October 15, 2025"
Island Health (B.C.),British Columbia,Island Health (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,250,"Per 100,000",240,260,-,-,-,-,-,-,"October 15, 2025"
Ottawa Public Health (Ont.),Ontario,Ottawa Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,250,"Per 100,000",241,260,-,-,-,-,-,-,"October 15, 2025"
Ottawa Public Health (Ont.),Ontario,Ottawa Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,250,"Per 100,000",241,259,-,-,-,-,-,-,"October 15, 2025"
Peel Public Health (Ont.),Ontario,Peel Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,250,"Per 100,000",242,257,-,-,-,-,-,-,"October 15, 2025"
Fraser North HSDA (B.C.),British Columbia,Fraser North HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,209,"Per 100,000",199,219,-,-,-,-,-,-,"October 15, 2025"
Ottawa Public Health (Ont.),Ontario,Ottawa Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,209,"Per 100,000",201,218,-,-,-,-,-,-,"October 15, 2025"
British Columbia,British Columbia,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,276,"Per 100,000",271,280,-,-,-,2.5,37.5,-,"October 15, 2025"
Ottawa Public Health (Ont.),Ontario,Ottawa Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,276,"Per 100,000",267,285,-,-,-,-,-,-,"October 15, 2025"
Peel Public Health (Ont.),Ontario,Peel Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,276,"Per 100,000",267,284,-,-,-,-,-,-,"October 15, 2025"
Winnipeg–Churchill Health Region (Man.),Manitoba,Winnipeg–Churchill Health Region (Man.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,276,"Per 100,000",265,288,-,-,-,-,-,-,"October 15, 2025"
British Columbia,British Columbia,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,300,"Per 100,000",296,305,-,-,-,2.4,35.8,-,"October 15, 2025"
Island Health (B.C.),British Columbia,Island Health (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,300,"Per 100,000",289,311,-,-,-,-,-,-,"October 15, 2025"
Okanagan HSDA (B.C.),British Columbia,Okanagan HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,300,"Per 100,000",285,317,-,-,-,-,-,-,"October 15, 2025"
Region of Waterloo Public Health (Ont.),Ontario,Region of Waterloo Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,300,"Per 100,000",286,314,-,-,-,-,-,-,"October 15, 2025"
Winnipeg–Churchill Health Region (Man.),Manitoba,Winnipeg–Churchill Health Region (Man.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,300,"Per 100,000",289,312,-,-,-,-,-,-,"October 15, 2025"
Region of Waterloo Public Health (Ont.),Ontario,Region of Waterloo Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,307,"Per 100,000",293,322,-,-,-,-,-,-,"October 15, 2025"
Northeast HSDA (B.C.),British Columbia,Northeast HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,492,"Per 100,000",445,545,-,-,-,-,-,-,"October 15, 2025"
Peterborough Public Health (Ont.),Ontario,Peterborough Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,492,"Per 100,000",460,527,-,-,-,-,-,-,"October 15, 2025"
Fraser East HSDA (B.C.),British Columbia,Fraser East HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,422,"Per 100,000",401,443,-,-,-,-,-,-,"October 15, 2025"
Hamilton Public Health Services (Ont.),Ontario,Hamilton Public Health Services (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,422,"Per 100,000",407,438,-,-,-,-,-,-,"October 15, 2025"
Peterborough Public Health (Ont.),Ontario,Peterborough Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,422,"Per 100,000",392,454,-,-,-,-,-,-,"October 15, 2025"
Interlake–Eastern Health Region (Man.),Manitoba,Interlake–Eastern Health Region (Man.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,389,"Per 100,000",360,421,-,-,-,-,-,-,"October 15, 2025"
Kootenay–Boundary HSDA (B.C.),British Columbia,Kootenay–Boundary HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,389,"Per 100,000",353,431,-,-,-,-,-,-,"October 15, 2025"
Simcoe Muskoka District Health Unit (Ont.),Ontario,Simcoe Muskoka District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,389,"Per 100,000",375,404,-,-,-,-,-,-,"October 15, 2025"
West Region (Ont.),Ontario,West Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,389,"Per 100,000",383,394,-,-,-,-,-,-,"October 15, 2025"
Manitoba,Manitoba,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,275,"Per 100,000",267,284,-,-,-,3.3,41.4,-,"October 15, 2025"
Durham Region Health Department (Ont.),Ontario,Durham Region Health Department (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,275,"Per 100,000",264,286,-,-,-,-,-,-,"October 15, 2025"
Kootenay–Boundary HSDA (B.C.),British Columbia,Kootenay–Boundary HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,275,"Per 100,000",247,308,-,-,-,-,-,-,"October 15, 2025"
Vancouver HSDA (B.C.),British Columbia,Vancouver HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,275,"Per 100,000",264,288,-,-,-,-,-,-,"October 15, 2025"
Wellington–Dufferin–Guelph Public Health (Ont.),Ontario,Wellington–Dufferin–Guelph Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,275,"Per 100,000",258,293,-,-,-,-,-,-,"October 15, 2025"
West Region (Ont.),Ontario,West Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,275,"Per 100,000",271,280,-,-,-,-,-,-,"October 15, 2025"
Central Zone (Alta.),Alberta,Central Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,515,"Per 100,000",496,535,-,-,-,-,-,-,"October 15, 2025"
Northern Health (B.C.),British Columbia,Northern Health (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,515,"Per 100,000",491,540,-,-,-,-,-,-,"October 15, 2025"
Sudbury and District Health Unit (Ont.),Ontario,Sudbury and District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,515,"Per 100,000",488,545,-,-,-,-,-,-,"October 15, 2025"
Sudbury and District Health Unit (Ont.),Ontario,Sudbury and District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,527,"Per 100,000",500,556,-,-,-,-,-,-,"October 15, 2025"
Thunder Bay District Health Unit (Ont.),Ontario,Thunder Bay District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,527,"Per 100,000",495,562,-,-,-,-,-,-,"October 15, 2025"
Hamilton Public Health Services (Ont.),Ontario,Hamilton Public Health Services (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,454,"Per 100,000",437,471,-,-,-,-,-,-,"October 15, 2025"
"Kingston, Frontenac and Lennox & Addington Public Health (Ont.)",Ontario,"Kingston, Frontenac and Lennox & Addington Public Health (Ont.)",Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,454,"Per 100,000",427,482,-,-,-,-,-,-,"October 15, 2025"
Sudbury and District Health Unit (Ont.),Ontario,Sudbury and District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,454,"Per 100,000",428,482,-,-,-,-,-,-,"October 15, 2025"
Chatham-Kent Public Health (Ont.),Ontario,Chatham-Kent Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,448,"Per 100,000",412,488,-,-,-,-,-,-,"October 15, 2025"
Sudbury and District Health Unit (Ont.),Ontario,Sudbury and District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,448,"Per 100,000",423,475,-,-,-,-,-,-,"October 15, 2025"
Manitoba,Manitoba,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,255,"Per 100,000",247,264,-,-,-,4.0,46.9,-,"October 15, 2025"
Central Region (Ont.),Ontario,Central Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,255,"Per 100,000",250,260,-,-,-,-,-,-,"October 15, 2025"
Central Region (Ont.),Ontario,Central Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,255,"Per 100,000",250,259,-,-,-,-,-,-,"October 15, 2025"
Peel Public Health (Ont.),Ontario,Peel Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,255,"Per 100,000",247,264,-,-,-,-,-,-,"October 15, 2025"
Central Region (Ont.),Ontario,Central Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,258,"Per 100,000",253,263,-,-,-,-,-,-,"October 15, 2025"
Edmonton Zone (Alta.),Alberta,Edmonton Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,258,"Per 100,000",251,266,-,-,-,-,-,-,"October 15, 2025"
Huron Perth Public Health (Ont.),Ontario,Huron Perth Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,258,"Per 100,000",235,283,-,-,-,-,-,-,"October 15, 2025"
Central Region (Ont.),Ontario,Central Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,186,"Per 100,000",182,190,-,-,-,-,-,-,"October 15, 2025"
Central Region (Ont.),Ontario,Central Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,199,"Per 100,000",195,203,-,-,-,-,-,-,"October 15, 2025"
North Shore/Coast Garibaldi HSDA (B.C.),British Columbia,North Shore/Coast Garibaldi HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,199,"Per 100,000",185,214,-,-,-,-,-,-,"October 15, 2025"
North Shore/Coast Garibaldi HSDA (B.C.),British Columbia,North Shore/Coast Garibaldi HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,199,"Per 100,000",185,214,-,-,-,-,-,-,"October 15, 2025"
Richmond HSDA (B.C.),British Columbia,Richmond HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,199,"Per 100,000",182,218,-,-,-,-,-,-,"October 15, 2025"
Central Region (Ont.),Ontario,Central Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,236,"Per 100,000",231,240,-,-,-,-,-,-,"October 15, 2025"
Edmonton Zone (Alta.),Alberta,Edmonton Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,236,"Per 100,000",229,243,-,-,-,-,-,-,"October 15, 2025"
Peel Public Health (Ont.),Ontario,Peel Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,236,"Per 100,000",229,243,-,-,-,-,-,-,"October 15, 2025"
South Vancouver Island HSDA (B.C.),British Columbia,South Vancouver Island HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,236,"Per 100,000",222,250,-,-,-,-,-,-,"October 15, 2025"
Canada,-,-,National,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,312,"Per 100,000",311,314,"113,684","36,816,973",-,2.7,39.1,-,"October 15, 2025"
Durham Region Health Department (Ont.),Ontario,Durham Region Health Department (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,312,"Per 100,000",300,325,-,-,-,-,-,-,"October 15, 2025"
Island Health (B.C.),British Columbia,Island Health (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,312,"Per 100,000",301,324,-,-,-,-,-,-,"October 15, 2025"
Calgary Zone (Alta.),Alberta,Calgary Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,294,"Per 100,000",286,302,-,-,-,-,-,-,"October 15, 2025"
Central Vancouver Island HSDA (B.C.),British Columbia,Central Vancouver Island HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,294,"Per 100,000",276,314,-,-,-,-,-,-,"October 15, 2025"
Durham Region Health Department (Ont.),Ontario,Durham Region Health Department (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,294,"Per 100,000",282,306,-,-,-,-,-,-,"October 15, 2025"
Interior Health (B.C.),British Columbia,Interior Health (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,294,"Per 100,000",283,305,-,-,-,-,-,-,"October 15, 2025"
Okanagan HSDA (B.C.),British Columbia,Okanagan HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,294,"Per 100,000",279,310,-,-,-,-,-,-,"October 15, 2025"
Vancouver HSDA (B.C.),British Columbia,Vancouver HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,294,"Per 100,000",282,307,-,-,-,-,-,-,"October 15, 2025"
Durham Region Health Department (Ont.),Ontario,Durham Region Health Department (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,211,"Per 100,000",201,221,-,-,-,-,-,-,"October 15, 2025"
East Region (Ont.),Ontario,East Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,361,"Per 100,000",355,367,-,-,-,-,-,-,"October 15, 2025"
